rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
31,Open Shut Them,Super Simple Songs,[],Twinkle Twinkle Little Star & More Kids Songs,,2017,"[""children""]","[""und""]",,,,,,,spotify_popularity,62.0,score_0_100,,,,21.7,6jNrjFCd9h9jBdGomb7LRN,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
32,Three Blind Mice,Sally Holland,[],Three Blind Mice,2023-11-24,2023,"[""['instrumental lullaby']""]","[""und""]",,,,,,,spotify_popularity,61.0,score_0_100,,,,21.349999999999998,1Si6lEQAINTYVQIqebg3bl,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""['instrumental lullaby']""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
33,"Head, Shoulders, Knees and Toes",Mother Goose Club,[],,2013-05-21,2013,"[""children""]","[""und""]",,,,,,,spotify_popularity,61.0,score_0_100,,,,21.349999999999998,2qKrxtkIuCOyE66TAunMXx,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
34,Rock a Bye Baby,The Kiboomers,[],,2013-06-28,2013,"[""children""]","[""und""]",,,,,,,spotify_popularity,61.0,score_0_100,,,,21.349999999999998,5R3XZ1gOX4vJzj9gA9eT7Y,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
35,Finger Family,CoComelon,[],"CoComelon Kids Hits, Vol. 2",,,"[""children""]","[""und""]",,,,,,,spotify_popularity,61.0,score_0_100,,,,21.349999999999998,7qOO5OuVEs4Htb3gsMaXZB,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
36,"Head, Shoulders, Knees and Toes",Toddler Tunes,[],Songs for Kids: Classic Children's Music,,2016,"[""children""]","[""und""]",,,,,,,spotify_popularity,61.0,score_0_100,,,,21.349999999999998,4izXmYE9U6clkv5uAyVEN7,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
37,Baby Beluga,Raffi,[],,1980,1980,"[""children""]","[""und""]",,,,,,,spotify_popularity,61.0,score_0_100,,,,21.349999999999998,7zQFM7bHcyMh4QQFdBkjrE,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
38,If You're Happy,Super Simple Songs,[],,2017-03-24,2017,"[""children""]","[""und""]",,,,,,,spotify_popularity,61.0,score_0_100,,,,21.349999999999998,3i5YdzGBo5ssO9NZrDicjz,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
39,If You're Happy and You Know It,The Wiggles,[],The Wiggles Nursery Rhymes,,2017,"[""children""]","[""und""]",,,,,,,spotify_popularity,61.0,score_0_100,,,,21.349999999999998,4jbFdoR43axNgUz4SE3Vnd,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
40,We Are The Dinosaurs,The Laurie Berkner Band,[],,2000,2000,"[""children""]","[""und""]",,,,,,,spotify_popularity,61.0,score_0_100,,,,21.349999999999998,2UDg4CUMCDSSGnsw2dfJUZ,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-25,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""children_childhood"",""matched_source_genres"":[""children""],""matched_unserious_title_phrase"":false,""selection"":""source genre/tag membership plus source-backed popularity ranking""}"
