rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
31,Black Catcher,Vicke Blanka,[],Black Catcher,2020-01-08,2020,"[""anime"",""anime rock"",""j-pop"",""j-rock""]","[""und""]",,Black Clover,583028,,,,spotify_popularity,73.0,score_0_100,,,,18.25,5RXmLhscstsdvWPN0XtUa0,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":10,""selection_method"":""exact_title_artist"",""anilist_id"":97940,""mal_id"":34572,""anime_popularity_rank"":31,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/black_clover_tv"",""catalog_sources"":""spotify_2025_0_9m_features|spotify_600k_historical|spotify_zenodo_0_9m|spotify_114k""}"
32,Kimi no Sei,the peggies,[],,,,[],"[""und""]",,Rascal Does Not Dream of Bunny Girl Senpai,579330,,,,anime_popularity_proxy,579330.0,anilist_users,,,,,,,,https://anilist.co/,2026-09-12,"No trustworthy song-level listen/view count found; AniList anime popularity is explicitly a proxy, not song listens.","{""theme_type"":""OP"",""theme_sequence"":null,""selection_method"":""theme_order_fallback"",""anilist_id"":101291,""mal_id"":37450,""anime_popularity_rank"":32,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/seishun_buta_yarou_wa_bunny_girl_senpai_no_yume_wo_minai""}"
33,Mixed Nuts,Official HIGE DANdism,[],Mixed Nuts,,,"[""anime"",""j-pop"",""j-rock""]","[""und""]",,SPY x FAMILY,569747,,,,spotify_popularity,68.0,score_0_100,,,,17.0,3RFL9hE5cBocBsjD5XLJLQ,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":null,""selection_method"":""exact_title_artist"",""anilist_id"":140960,""mal_id"":50265,""anime_popularity_rank"":33,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/spy_x_family"",""catalog_sources"":""spotify_114k""}"
34,Chikatto Chika Chika,Konomi Kohara,[],Chikatto Chika Chika,2022-01-17,2022,[],"[""und""]",,Kaguya-sama: Love is War,558516,,,,spotify_popularity,0.0,score_0_100,,,,0.0,35xyMlHIOHv1H8mXf2erK5,,,https://doi.org/10.5281/zenodo.11453410,2026-09-12,,"{""theme_type"":""ED"",""theme_sequence"":2,""selection_method"":""exact_title_artist"",""anilist_id"":101921,""mal_id"":37999,""anime_popularity_rank"":34,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/kaguya_sama_wa_kokurasetai_tensai_tachi_no_renai_zunousen"",""catalog_sources"":""spotify_zenodo_0_9m|spotify_2025_0_9m_features""}"
35,Good Morning World!,BURNOUT SYNDROMES,[],BURNOUT SYNDROMEZ,,,"[""anime"",""j-pop"",""j-rock""]","[""und""]",,Dr. STONE,554509,,,,spotify_popularity,58.0,score_0_100,,,,14.499999999999998,6bfDSsy4wnpn6B0de8Qrbx,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""exact_title_artist"",""anilist_id"":105333,""mal_id"":38691,""anime_popularity_rank"":35,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/dr_stone"",""catalog_sources"":""spotify_114k""}"
36,Sincerely,TRUE,[],Sincerely,2018-01-31,2018,"[""anime""]","[""und""]",,Violet Evergarden,547159,,,,spotify_popularity,60.0,score_0_100,,,,15.0,4thBZp9kEDqeSwLtwcAZgk,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":null,""selection_method"":""exact_title_artist"",""anilist_id"":21827,""mal_id"":33352,""anime_popularity_rank"":36,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/violet_evergarden"",""catalog_sources"":""spotify_600k_historical|spotify_114k|spotify_2025_0_9m_features|spotify_zenodo_0_9m""}"
37,MUKANJYO,Survive Said The Prophet,[],MUKANJYO,2019-08-21,2019,"[""alt-rock"",""alternative"",""j-pop"",""j-poprock"",""j-rock"",""japanese alternative rock""]","[""und""]",,Vinland Saga,545381,,,,spotify_popularity,64.0,score_0_100,,,,16.0,4MTgIH5OZQHAbdBWgbKSAb,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""exact_title_artist"",""anilist_id"":101348,""mal_id"":37521,""anime_popularity_rank"":37,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/vinland_saga"",""catalog_sources"":""spotify_zenodo_0_9m|spotify_2025_0_9m_features|spotify_114k""}"
38,silky heart,Yui Horie,[],HONEY JET!!,,,"[""j-idol""]","[""und""]",,Toradora!,541981,,,,spotify_popularity,42.0,score_0_100,,,,10.5,5UOFQeVsLEZKuX9VMI2qtb,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":2,""selection_method"":""exact_title_artist"",""anilist_id"":4224,""mal_id"":4224,""anime_popularity_rank"":38,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/toradora"",""catalog_sources"":""spotify_114k""}"
39,This game,Konomi Suzuki,[],LIFE of DASH,,,"[""anime"",""j-pop""]","[""und""]",,"No Game, No Life",540853,,,,spotify_popularity,56.0,score_0_100,,,,14.000000000000002,3COSRKvFPnpnnorNF4oaMf,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-09-12,,"{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""exact_title_artist"",""anilist_id"":19815,""mal_id"":19815,""anime_popularity_rank"":39,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/no_game_no_life"",""catalog_sources"":""spotify_114k""}"
40,Skyreach,Sora Amamiya,[],,,,[],"[""und""]",,Akame ga Kill!,539095,,,,anime_popularity_proxy,539095.0,anilist_users,,,,,,,,https://anilist.co/,2026-09-12,"No trustworthy song-level listen/view count found; AniList anime popularity is explicitly a proxy, not song listens.","{""theme_type"":""OP"",""theme_sequence"":1,""selection_method"":""theme_order_fallback"",""anilist_id"":20613,""mal_id"":22199,""anime_popularity_rank"":41,""anime_popularity_source"":""anilist_users"",""theme_metadata_url"":""https://animethemes.moe/anime/akame_ga_kill""}"
